Name,Flux_70
G010.0997+00.7396,185.493000
G010.1431-00.4234,35.182000
G010.1850-00.3960,133.636000
G010.1880-00.3162,269.462000
G010.1960-00.4265,32.494000
G010.2218-00.2945,14.664000
G010.2340-00.2890,27.838000
G010.3207-00.2329,151.725000
G010.3930+00.5389,85.443000
G010.4718+00.0206,17.387000
G010.4984-00.7706,3.124000
G010.5956-00.8740,10.185000
G010.6235-00.3834,7851.370000
G010.6291-00.3385,523.315000
G010.8856+00.1221,231.309000
G011.0064+00.9220,3.658000
G011.0340+00.0629,415.311000
G011.0454-00.0670,1.897000
G011.1109-00.4001,483.051000
G011.1161+00.0514,56.440000
G011.1723-00.0656,102.357000
G011.1783+00.2937,1.043000
G011.2687-00.8410,6.910000
G011.2907+00.1523,1.374000
G011.3743-00.8503,29.582000
G011.3763-00.0216,4.727000
G011.5602+00.0873,119.237000
G011.6344-00.0647,69.069000
G011.7438-00.6502,2.812000
G011.7527+01.2362,1.545000
G011.7588-00.1502,59.390000
G011.8010-00.0834,4.075000
G011.9373-00.6165,1985.390000
G011.9454-00.0373,622.479000
G011.9509-00.1615,1.491000
G011.9920-00.2731,85.282000
G012.0260-00.0317,122.121000
G012.1177+01.1966,7.813000
G012.2850+00.1031,8.621000
G012.3739-00.0351,20.405000
G012.3821-00.3028,5.044000
G012.5932-00.5708,21.381000
G012.7232-00.1209,31.185000
G012.7589+00.8954,52.613000
G012.7720+00.3038,2.620000
G012.7879-00.1786,110.747000
G012.8062-00.1987,2856.600000
G012.8170-00.2479,41.079000
G012.8172-00.0934,1.849000
G012.8296-00.1719,44.266000
G012.8600-00.2737,429.399000
G012.9090-00.2607,2429.590000
G013.0105-00.1267,21.846000
G013.1885+00.0395,98.173000
G013.2097-00.1436,526.139000
G013.2857+00.5723,0.627000
G013.3310-00.0407,22.182000
G013.6313+00.1937,95.068000
G013.6562-00.5997,537.326000
G013.8315-00.3047,0.756000
G013.8770+00.2811,68.696000
G013.9090-00.0622,3.270000
G013.9907-00.1343,58.118000
G014.0334-00.6594,3.678000
G014.1742+00.0226,77.945000
G014.2071-00.1105,86.137000
G014.3313-00.6397,672.199000
G014.3909-00.0216,76.329000
G014.4335-00.6969,103.967000
G014.4797-00.1091,75.179000
G014.5304+00.1601,3.544000
G014.5982+00.0202,58.142000
G014.6087+00.0127,246.244000
G014.7783-00.3326,69.896000
G015.0056-00.7903,39.093000
G015.0261-00.8338,32.467000
G015.0693+00.2026,24.727000
G015.0915-00.6305,257.309000
G015.0939+00.1913,63.588000
G015.1221-00.8147,8.877000
G015.1288-00.6717,566.923000
G015.1308-00.5298,27.852000
G015.1834-00.1621,124.264000
G015.3590-00.6549,3.766000
G015.4051-00.0656,2.968000
G015.4528-00.8582,6.404000
G015.5489-01.0064,24.775000
G015.6546+01.2903,4.471000
G015.7987-00.0060,13.361000
G015.8658-01.1432,2.275000
G016.1169-00.2903,148.530000
G016.1407-00.7895,1.801000
G016.3320+00.0472,15.954000
G016.3985-00.7737,0.667000
G016.7116-00.2969,6.636000
G016.7981+00.1264,79.579000
G016.9261+00.2854,32.261000
G016.9290+00.9115,3.432000
G016.9440-00.0736,548.107000
G016.9512+00.7806,70.224000
G016.9747-00.0293,19.974000
G016.9982+01.0853,6.878000
G017.0666+00.6826,36.371000
G017.1141-00.1130,157.037000
G017.1488-00.0847,55.281000
G017.2059-01.0971,5.779000
G017.2893-00.1982,48.778000
G017.3629-00.0391,3.348000
G017.6380+00.1566,3863.850000
G017.7461-00.3684,3.214000
G017.9272+00.6332,146.426000
G017.9944-00.4023,1.738000
G018.0544+00.9843,1.360000
G018.1798-00.3873,6.210000
G018.2405-00.9155,5.982000
G018.2680-00.2955,17.515000
G018.2750-00.2890,28.590000
G018.2955+00.4291,22.994000
G018.3029-00.3910,629.021000
G018.3706-00.3818,84.537000
G018.4608-00.0034,947.607000
G018.6260+01.0963,0.659000
G018.6556-00.0590,348.612000
G018.6731-00.2380,48.472000
G018.7104+00.0001,163.048000
G018.7448+00.2515,52.146000
G018.7506+00.2549,6.463000
G018.7506+01.5136,4.169000
G018.7621+00.2634,143.792000
G018.7683+00.3016,30.769000
G018.8246-00.4673,126.398000
G018.8330-00.3004,403.025000
G018.9128+01.4288,3.695000
G019.1171-00.3348,38.804000
G019.2086-00.9527,19.174000
G019.3643-00.0292,278.446000
G019.4902+00.1350,252.837000
G019.5534-00.1720,2.765000
G019.6074+00.2531,1.999000
G019.6085-00.2357,3692.750000
G019.6091-00.1375,129.659000
G019.6095+01.1873,6.810000
G019.6803-00.1278,93.323000
G019.7268-00.1132,163.469000
G019.7540-00.1279,380.894000
G019.8350+00.4222,22.734000
G019.8922+00.1023,86.504000
G019.9224-00.2577,39.760000
G019.9386-00.2079,30.882000
G020.0722-00.1419,148.687000
G020.0801-00.1360,1731.410000
G020.0907+00.4861,3.396000
G020.0975-00.1220,52.055000
G020.1202+01.1779,0.207000
G020.2309-00.3173,11.214000
G020.4320+00.3571,79.337000
G020.4328-00.3439,11.826000
G020.4680+00.6794,9.734000
G020.5655+00.9477,0.575000
G020.5703-00.8017,14.451000
G020.5918+00.4194,2.233000
G020.6345-00.4814,4.336000
G020.6724-00.1387,18.421000
G020.6796+00.0841,55.107000
G020.7121-00.0754,88.594000
G020.7124-00.0945,9.325000
G020.7321-00.0887,18.717000
G020.8543+00.4859,33.276000
G020.9561-00.8804,3.098000
G021.0440-00.3782,7.300000
G021.1164+00.7775,4.259000
G021.1653+00.4756,10.786000
G021.3424-00.8425,1.809000
G021.3853-00.2537,551.570000
G021.4127+00.0736,4.245000
G021.4566+00.4911,37.601000
G021.4859+00.5260,0.579000
G021.5020-01.0315,1.616000
G021.5624-00.0329,142.884000
G021.6654+00.8110,5.901000
G022.0425-00.6084,10.839000
G022.1358-00.3896,2.110000
G022.4171+00.6208,5.887000
G022.7297-00.2399,25.962000
G022.7586-00.4815,19.509000
G022.7601-00.2452,35.151000
G022.8274-00.2515,7.878000
G022.9815-00.3711,39.406000
G023.1563-00.3216,56.125000
G023.2426-00.2398,23.180000
G023.3891+00.1851,247.282000
G023.4017-00.2169,119.952000
G023.4183-00.3939,61.484000
G023.4984-00.0373,5.780000
G023.6566-00.1273,166.828000
G023.8176+00.3841,74.859000
G023.8210-00.5788,8.258000
G023.8891-00.7379,17.268000
G023.8983+00.0648,195.405000
G023.9548+00.1494,337.139000
G024.0541+00.3297,0.419000
G024.1260+00.3369,0.734000
G024.1546+00.1627,109.324000
G024.2216-00.0428,48.722000
G024.3854+00.2867,7.040000
G024.5076-00.2222,458.532000
G024.5814+00.2245,2.534000
G024.6343-00.3233,108.434000
G024.6687-00.1672,162.674000
G024.6691-00.4595,29.384000
G024.6773+00.5491,14.300000
G024.6924+00.2347,12.435000
G024.7162-00.0389,15.322000
G024.7357+00.0859,4.674000
G024.7832+00.5691,2.294000
G024.7891+00.0846,1419.790000
G024.7989+00.0969,256.276000
G024.8107+00.3060,5.885000
G025.1664+00.5233,6.571000
G025.2564+00.2472,12.638000
G025.2750+00.3061,20.184000
G025.2876+00.3161,17.849000
G025.2933+00.2855,4.653000
G025.3058+00.5308,138.395000
G025.3820-00.1813,2050.540000
G025.3981+00.5617,406.125000
G025.3990-00.1688,169.734000
G025.4369+00.1217,3.291000
G025.4379+00.4168,45.098000
G025.4608-00.2098,218.039000
G025.4948-00.2879,5.463000
G025.5014-00.5150,6.048000
G025.5470-00.0529,35.317000
G025.6009+01.1444,0.855000
G025.6498+01.0491,1262.680000
G025.7161+00.0486,182.299000
G025.7647+00.2087,61.742000
G025.7667+00.2160,37.695000
G025.8015-00.1570,486.195000
G025.9823+01.4624,9.086000
G026.0552+00.5421,30.631000
G026.0905-00.0578,165.035000
G026.1094-00.0944,175.915000
G026.2020+00.2262,6.971000
G026.2092-00.5896,11.576000
G026.2110-00.5137,50.859000
G026.3050+00.1162,8.015000
G026.3176-00.0134,60.834000
G026.4283-00.0439,7.886000
G026.4897-00.5455,59.636000
G026.5436+00.6175,405.457000
G026.5881+00.0926,54.824000
G026.5972-00.0241,256.892000
G026.6085-00.2122,217.850000
G026.7065-00.4598,1.482000
G027.1472-00.1431,1.433000
G027.2220+00.1361,110.482000
G027.2629+00.1977,8.368000
G027.2703+00.1488,73.699000
G027.2788+00.2094,1.369000
G027.2804+00.1438,235.588000
G027.4938+00.1893,306.318000
G027.5027+00.1956,64.076000
G027.5618+00.0828,101.365000
G027.5762-00.8533,19.137000
G027.6555+00.4289,1.456000
G027.6594-00.3838,1.770000
G027.6672-00.0548,1.524000
G027.7021+00.7045,11.813000
G027.7571+00.0500,125.975000
G027.7954-00.2772,97.251000
G028.0035-00.0109,21.672000
G028.0692+00.2513,2.520000
G028.2325+00.0394,36.246000
G028.2461+00.0134,369.627000
G028.3199+01.2440,76.303000
G028.3271+00.1617,232.124000
G028.3373+00.1189,172.643000
G028.4024-00.3810,8.715000
G028.6520+00.0271,306.409000
G028.6874+00.1772,193.692000
G028.6976+00.0437,2.313000
G028.7034+00.0394,16.206000
G028.8115+00.1909,29.179000
G028.8141+00.2441,12.291000
G028.8170+00.3663,156.652000
G028.8182+00.2483,6.644000
G028.8621+00.0657,1736.900000
G028.9773-00.6081,32.414000
G029.2113-00.0690,19.590000
G029.4132-00.7907,11.471000
G029.4332+00.1542,13.463000
G029.4375-00.1741,27.533000
G029.5843+00.1143,8.742000
G029.5867-00.6598,36.562000
G029.5904-00.6144,37.249000
G029.6192-00.5984,41.247000
G029.8288-00.1568,13.643000
G029.8390-00.0980,16.921000
G029.8620-00.0444,382.210000
G029.8741-00.8190,15.290000
G029.9048-00.0682,4.201000
G029.9107-00.0553,15.307000
G029.9564-00.0174,5146.170000
G030.0908-00.6866,154.934000
G030.1502+00.1237,15.988000
G030.1981-00.1691,284.706000
G030.2340-00.1392,31.640000
G030.2531+00.0536,214.593000
G030.3101-00.2142,41.077000
G030.3782+00.1068,88.441000
G030.3830-00.1099,669.122000
G030.3941-00.7061,43.833000
G030.4117-00.2277,86.606000
G030.5345+00.0209,813.409000
G030.5889-00.0426,1022.430000
G030.5942-00.1273,36.264000
G030.6453-00.0777,26.163000
G030.6671-00.3316,106.463000
G030.6743-00.2364,48.868000
G030.6877-00.0729,432.163000
G030.6931-00.0474,207.056000
G030.6989-00.0235,182.208000
G030.7092-00.0177,203.418000
G030.7147+00.4264,13.305000
G030.7206-00.0826,740.303000
G030.7242-00.0614,158.756000
G030.7656+00.0156,21.659000
G030.8053-00.0403,117.330000
G030.8295-00.1008,84.986000
G030.8667+00.1141,1035.520000
G030.8825+00.0739,67.590000
G030.9223+00.2740,7.372000
G030.9281-00.0308,17.766000
G030.9441+00.0350,150.717000
G030.9648+00.9162,0.706000
G030.9727+00.5620,54.384000
G031.0494+00.4698,67.715000
G031.0606+00.0928,153.308000
G031.2430-00.1108,1011.250000
G031.6617+00.3667,46.417000
G031.7438+00.8967,1.722000
G031.8237-00.1131,47.509000
G031.9844-00.4849,16.640000
G032.0301+00.0495,171.829000
G032.0451+00.0589,661.295000
G032.0518-00.0902,32.624000
G032.0584+00.0769,0.749000
G032.1300+00.9353,3.404000
G032.1514+00.1317,508.786000
G032.2718-00.2260,278.165000
G032.4727+00.2041,229.594000
G032.5484-00.4737,5.501000
G032.5834-00.3323,9.996000
G032.6133+00.7973,9.462000
G032.7494-00.0638,105.555000
G032.7946+00.2053,10.699000
G032.7977+00.1903,3792.900000
G032.8276-00.3152,62.787000
G032.9275+00.6063,268.886000
G033.0083+00.5420,3.046000
G033.0225+00.2788,1.338000
G033.1102-00.0938,38.388000
G033.2031-00.0102,170.455000
G033.2880+00.8684,3.790000
G033.3891+00.1989,60.290000
G033.3933+00.0100,112.978000
G033.4178-00.0038,165.161000
G033.4544-00.6150,28.166000
G033.5237+00.0198,76.678000
G033.5681-00.3840,14.451000
G033.6048+01.1866,1.686000
G033.6437-00.2596,4.628000
G033.6657+00.5833,1.549000
G033.7539-00.8131,2.913000
G033.8104-00.1869,739.563000
G033.8728-00.3350,14.329000
G033.9062-00.0437,25.689000
G033.9148+00.1093,1439.190000
G034.0126-00.2832,31.959000
G034.0500-00.2977,7.177000
G034.0886+00.4349,92.979000
G034.1323+00.4709,515.977000
G034.4200-00.3180,5.854000
G034.5964-01.0292,44.798000
G034.6243-00.1300,69.985000
G034.6289+01.2884,0.718000
G034.7123-00.5946,309.434000
G034.7569+00.0247,153.888000
G034.8211+00.3519,283.332000
G034.8615+00.7590,4.929000
G034.8625-00.0629,9.196000
G034.8630-00.9462,9.266000
G034.9234-00.0500,21.606000
G035.0528-00.5180,232.514000
G035.1979-00.7427,2458.800000
G035.3449+00.3474,119.583000
G035.3458+00.2124,5.383000
G035.4052+00.3200,43.745000
G035.4467+00.9592,0.845000
G035.4672+00.1381,1297.390000
G035.4720-00.4364,30.216000
G035.5423+00.0038,14.580000
G035.5736+00.0678,395.177000
G035.5789-00.0304,1570.520000
G035.5804-00.3330,8.052000
G035.6695-00.0467,83.352000
G035.9489-00.1471,116.280000
G036.1214-00.4827,2.468000
G036.5664+00.0180,3.562000
G036.8780-00.4728,96.230000
G036.9886-00.4185,1.565000
G037.1185-00.8473,16.018000
G037.2772-00.2258,175.699000
G037.3506+01.0547,18.735000
G037.3566-00.2307,88.662000
G037.4327-00.4207,0.705000
G037.4974+00.5301,250.972000
G037.5450-00.1118,537.804000
G037.5536+00.2008,865.052000
G037.6390-00.1054,136.045000
G037.7638-00.2010,99.774000
G037.8730-00.3991,2337.210000
G037.9108+00.7883,4.841000
G037.9595+00.4535,9.133000
G038.2577-00.0733,47.011000
G038.3543-00.9519,31.221000
G038.5497+00.1636,92.594000
G038.5845-00.7056,0.445000
G038.6462-00.2260,94.963000
G038.6930-00.4522,145.017000
G038.8750+00.3088,256.573000
G038.9365-00.4592,63.523000
G038.9851+00.0507,1.599000
G039.1953+00.2254,132.776000
G039.2731-00.0440,44.941000
G039.4320+01.0442,0.948000
G039.4943-00.9933,204.704000
G039.7279-00.3974,84.582000
G039.8651+00.6474,97.632000
G039.8821-00.3457,382.565000
G039.9018-01.3513,225.684000
G040.0175-00.1193,60.204000
G040.1645+00.2963,7.821000
G040.2605-00.2746,2.426000
G040.2793+00.3766,10.944000
G040.5967-00.7188,110.679000
G040.6225-00.1377,849.828000
G041.0780-00.6365,16.229000
G041.1207-00.1062,44.958000
G041.1331+00.1307,61.475000
G041.3780+00.0350,236.649000
G041.5130-00.1412,109.130000
G041.7410+00.0972,340.992000
G042.1099-00.4466,219.172000
G042.1606+00.6080,13.734000
G042.2396+00.3434,66.251000
G042.3083-00.1324,24.643000
G042.6040+00.0666,24.853000
G043.0281+00.1406,11.456000
G043.1497+00.0272,176.867000
G043.1650-00.0285,1844.320000
G043.1679+00.0095,5074.020000
G043.1724+00.0004,751.352000
G043.1770-00.5187,401.432000
G043.1824-00.0260,246.643000
G043.2945-00.6451,2.929000
G043.3061-00.2106,474.862000
G043.7619+00.5138,5.114000
G043.7955-00.1275,2212.670000
G043.8152-00.1172,15.214000
G043.8846-01.0195,2.823000
G043.8861-00.7970,3.959000
G043.8896-00.7835,546.890000
G043.9956-00.0111,261.327000
G044.2404+00.3090,2.559000
G044.2836-00.5249,97.027000
G044.3103+00.0416,447.215000
G044.7991+00.6608,22.338000
G045.0711+00.1325,3784.650000
G045.1221+00.1323,3747.010000
G045.1253+00.1127,33.328000
G045.1894-00.4387,143.688000
G045.4297+00.0511,9.911000
G045.4641+00.0284,132.136000
G045.4782+00.1323,851.270000
G046.0166+00.2644,12.473000
G046.2776-00.9429,3.221000
G046.4993-00.2421,5.762000
G047.0573-00.7213,2.760000
G047.6884-00.3021,3.041000
G047.9002+00.0671,20.944000
G048.3202-00.0084,1.325000
G048.5891+00.0424,103.617000
G048.7179+01.1504,28.688000
G048.9624-00.2977,26.550000
G049.0114-00.4203,14.278000
G049.0121-00.3362,20.451000
G049.0154-00.2777,36.221000
G049.0431-01.0787,162.397000
G049.0618-00.2858,17.024000
G049.0707-00.3000,19.917000
G049.0783-00.3739,222.074000
G049.0859-00.3849,39.865000
G049.2015-00.1876,33.889000
G049.2869-00.8201,2.918000
G049.2982-00.0582,17.700000
G049.3478-00.3331,29.649000
G049.4673-00.3842,338.622000
G049.4903-00.3694,7547.890000
G049.4970-00.4718,84.712000
G049.5347-00.3780,114.851000
G049.5531-00.3302,157.479000
G049.5722-00.2737,74.546000
G049.5757-00.3519,235.730000
G049.5933-00.4571,11.998000
G049.5993-00.2488,84.305000
G049.6894-00.3346,3.191000
G049.6945+00.8642,80.728000
G049.9983+00.0845,4.160000
G050.0458+00.7692,77.290000
G050.1151+00.0508,0.424000
G050.2213-00.6063,260.467000
G050.3728+00.4784,1.608000
G050.4802+00.7058,81.052000
G050.5557+00.0448,17.734000
G050.7796+00.1520,53.451000
G051.5099+00.1677,10.301000
G051.6783+00.7190,542.298000
G051.6848-00.2591,7.555000
G051.8042-00.2247,16.950000
G051.8346+00.2837,4.682000
G051.9286+00.5785,16.266000
G052.2078+00.6890,71.088000
G052.5405-00.9272,50.951000
G052.5814+00.2014,4.726000
G052.9217+00.4142,61.245000
G052.9221-00.4892,59.978000
G053.1417+00.0705,352.440000
G053.1659-00.2473,105.010000
G053.1865+00.2093,117.254000
G053.1867+00.1622,97.951000
G053.1969+00.1483,20.808000
G053.5343-00.7943,37.936000
G053.5671-00.8653,49.533000
G053.6302-00.2391,36.252000
G054.0926-00.0693,174.523000
G054.0954-00.0598,59.671000
