#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-02-13T19:12:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c6464a76380	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:V/114&tab:{V/114/msx6_gp}&key:source=V/114/msx6_gp&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/114/msx6_gp
#-order=I
#-out=MSX6C
#-out=RAJ2000
#-out=DEJ2000
#-out=B1
#-out=q_B1
#-out=e_B1
#-out=A
#-out=q_A
#q_A=>= 2
#-out=e_A
#-out=C
#-out=q_C
#-out=e_C
#-out=D
#-out=q_D
#q_D=>= 2
#-out=e_D
#-out=E
#-out=q_E
#q_E=>= 2
#-out=e_E
#Old=Old
#

#RESOURCE=yCat_5114
#Name: V/114
#Title: MSX6C Infrared Point Source Catalog (Egan+ 2003)
#Table	V_114_msx6_gp:
#Name: V/114/msx6_gp
#Title: The complete MSX6C catalogue in the Galactic Plane (|b|<=6{deg})
#Column	MSX6C	(a17)	Name (based on galactic position)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	B1	(E10.3)	Flux density in B1 (4.29um) band (1)	[ucd=phot.mag;em.IR.4-8um]
#Column	q_B1	(I1)	[0,4] Band B1 quality (2)	[ucd=meta.code.qual]
#Column	e_B1	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	A	(E10.3)	Flux density in A (8.28um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_A	(I1)	[0,4] Band A quality (2)	[ucd=meta.code.qual]
#Column	e_A	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	C	(E10.3)	Flux density in C (12.13um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_C	(I1)	[0,4] Band C quality (2)	[ucd=meta.code.qual]
#Column	e_C	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	D	(E10.3)	Flux density in D (14.65um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_D	(I1)	[0,4] Band D quality (2)	[ucd=meta.code.qual]
#Column	e_D	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	E	(E10.3)	Flux density in E (21.34um) band (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	q_E	(I1)	[0,4] Band E quality (2)	[ucd=meta.code.qual]
#Column	e_E	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
MSX6C;RAJ2000;DEJ2000;B1;q_B1;e_B1;A;q_A;e_A;C;q_C;e_C;D;q_D;e_D;E;q_E;e_E
 ;deg;deg;Jy; ;%;Jy; ;%;Jy; ;%;Jy; ;%;Jy; ;%
-----------------;--------;--------;----------;-;-----;----------;-;-----;----------;-;-----;----------;-;-----;----------;-;-----
G334.7610-02.0558;248.8790;-50.5363; 1.293e+02;4;  8.5; 8.826e+01;4;  4.1; 8.543e+01;4;  5.0; 5.783e+01;4;  6.1; 3.697e+01;4;  6.0
G319.6681-02.1733;228.4146;-60.3390; 1.362e+02;4;  8.5; 6.031e+01;4;  4.1; 4.396e+01;4;  5.0; 2.158e+01;4;  6.1; 1.092e+01;4;  6.1
G348.9828-02.0634;261.3048;-39.3226;-1.509e+01;1;     ; 5.326e+01;4;  4.1; 6.218e+01;4;  5.0; 4.924e+01;4;  6.1; 3.832e+01;4;  6.0
G047.6454-02.0749;291.5627;+12.0864;-1.157e+01;0;     ; 4.523e+01;4;  4.1; 6.975e+01;4;  5.0; 7.136e+01;4;  6.1; 5.492e+01;4;  6.0
G338.3114-02.2448;252.6661;-47.9827; 1.604e+01;1; 13.0; 5.176e+01;4;  4.1; 6.270e+01;4;  5.0; 5.759e+01;4;  6.1; 6.272e+01;4;  6.0
G009.5748-02.0321;273.6286;-21.6412; 1.551e+01;1; 60.8; 3.539e+01;4;  4.1; 4.679e+01;4;  5.0; 3.693e+01;4;  6.1; 4.156e+01;4;  6.0
G287.4493-02.0051;159.6815;-60.8235; 6.228e+01;4;  9.1; 3.888e+01;4;  4.1; 3.651e+01;4;  5.0; 1.882e+01;4;  6.1; 1.131e+01;4;  6.1
G306.5127-02.0259;201.2467;-64.6642; 5.072e+01;3;  9.5; 3.142e+01;4;  4.1; 2.756e+01;4;  5.0; 2.084e+01;4;  6.1; 1.100e+01;4;  6.1
G302.0186-02.2044;190.6949;-65.0609; 2.646e+01;2; 10.5; 4.364e+01;4;  4.1; 4.318e+01;4;  5.0; 3.236e+01;4;  6.1; 2.369e+01;4;  6.0
G022.2313-02.2251;279.9417;-10.5345; 1.652e+01;1; 13.0; 3.591e+01;4;  4.1; 3.681e+01;4;  5.0; 2.830e+01;4;  6.1; 2.256e+01;4;  6.0
G067.7232-02.2019;302.5815;+29.3355; 3.571e+01;3;  9.6; 2.660e+01;4;  4.1; 2.173e+01;4;  5.0; 1.156e+01;4;  6.1; 7.462e+00;4;  6.1
G319.0021-02.0466;227.1225;-60.5692; 2.121e+01;1; 12.5; 2.274e+01;4;  4.1; 2.525e+01;4;  5.0; 1.979e+01;4;  6.1; 2.183e+01;4;  6.0
G287.3330-02.2303;159.2462;-60.9628; 1.916e+01;1; 40.9; 2.292e+01;4;  4.1; 3.629e+01;4;  5.0; 4.002e+01;4;  6.1; 3.715e+01;4;  6.0
G333.2078-02.0298;247.1619;-51.6531;-1.060e+01;0;     ; 2.608e+01;4;  4.1; 2.498e+01;4;  5.0; 1.736e+01;4;  6.1; 1.670e+01;4;  6.0
G289.6438-02.2362;163.5259;-62.0422; 2.963e+01;3; 10.1; 2.126e+01;4;  4.1; 2.040e+01;4;  5.0; 1.653e+01;4;  6.1; 1.651e+01;4;  6.0
