,MSX Name,Source Type
0,G010.3040-00.1466,V*
1,G010.6235-00.3834,Symbiotic*
2,G011.1783+00.2937,Symbiotic*
3,G013.2978+02.4742,Mira
4,G013.8315-00.3047,Star
5,G014.3909-00.0216,OH/IR
6,G015.0056-00.7903,RedSG*
7,G015.0261-00.8338,RedSG*
8,G015.0286-00.6981,SB*
9,G015.0358-00.8191,Candidate_C*
10,G015.0727-00.6447,C*
11,G015.0796-00.6690,Symbiotic*
12,G015.1038-00.6222,RedSG*
13,G015.1127-00.5469,Candidate_LP*
14,G024.8259+00.1291,PN
15,G024.8489+00.1284,PN
16,G024.8743+00.1679,PN
17,G025.0567-00.3505,PN
18,G025.2750+00.3061,PN
19,G025.2755-00.1464,PN
20,G025.2876+00.3161,PN
21,G025.2933+00.2855,PN
22,G025.3631-00.1868,PN
23,G025.7647+00.2087,Em*
24,G026.0552+00.5421,OH/IR
25,G028.0035-00.0109,S*
26,G032.1300+00.9353,Candidate_WR*
27,G032.2718-00.2260,Candidate_LP*
28,G032.8276-00.3152,SB*
29,G033.1102-00.0938,PN
30,G033.2020-00.0137,Nova
31,G033.4178-00.0038,C*
32,G033.8071-02.6926,SB*
33,G034.0126-00.2832,C*
34,G043.1418-02.2973,PN
35,G043.1497+00.0272,PN
36,G043.7955-00.1275,C*
37,G043.8896-00.7835,C*
38,G049.0398-00.2352,PN
39,G049.0542-00.3942,SB*
40,G049.0838-00.3262,RedSG*
41,G049.0859-00.3849,RedSG*
42,G049.2907-00.5185,PulsV*RVTau
43,G059.9997+00.1167,PN
44,G060.9134-01.0561,PN
45,G063.1623+00.4512,C*
46,G064.1327-00.4709,C*
47,G067.1632+02.7324,**
48,G069.3001+02.8888,S*
49,G070.9846+02.2447,post-AGB*
50,G083.0936+03.2724,post-AGB*
51,G083.7071+03.2817,PN
52,G083.7962+03.3058,PN
53,G086.8419+00.8681,Star
54,G094.4637-00.8043,C*
55,G097.5093+03.1681,PM*
56,G098.0361+01.4462,LPV*
57,G099.9881+03.0733,LPV*
58,G103.0624-00.6911,post-AGB*
59,G103.8034+00.4062,PulsV*RVTau
60,G107.8435+02.3150,post-AGB*
61,G179.0380+04.3003,PN
62,G189.0307+00.7821,LPV*
63,G189.0323+00.8092,Candidate_LP*
64,G189.7677+00.3376,Mira
65,G192.5843-00.0417,Star
66,G207.3265-02.1463,Symbiotic*
67,G224.6075-01.0063,RedSG*
68,G224.6573-02.4978,Be*
69,G233.7682-00.1996,Em*
70,G233.8306-00.1803,C*
71,G234.5093-00.3181,SG*
72,G234.5776+00.8384,RedSG*
73,G234.6358+00.8281,Mira
74,G234.7617-00.2766,C*
75,G234.8372+02.4209,C*
76,G234.8628-01.4747,V*
77,G235.3824-03.9209,C*
78,G240.9435-01.6110,LPV*
79,G263.2283+01.5712,LPV*
80,G263.2493+00.5153,PulsV*RVTau
81,G263.5994-00.5236,Mira
82,G263.6177+00.3652,C*
83,G263.6200-00.5308,Ae*
84,G264.9032+01.6584,C*
85,G265.1195+01.4751,LPV*
86,G265.1382+01.4774,Mira
87,G265.1424+01.4389,Mira
88,G265.1438+01.4548,Be*
89,G265.1733+01.4559,LPV*
90,G267.8211-00.8437,RedSG*
91,G267.8290-00.8546,RedSG*
92,G267.8303-00.9998,RedSG*
93,G267.8916-01.0634,Star
94,G267.8970-01.0684,RedSG*
95,G267.9082-01.0707,LPV*
96,G267.9094+01.7816,LPV*
97,G267.9359-01.0528,C*
98,G267.9520-01.1108,RedSG*
99,G267.9657-01.1208,PulsV*RVTau
100,G267.9998-01.0283,Symbiotic*
101,G268.0288-01.0876,LPV*
102,G268.4259+02.4804,RedSG*
103,G268.4452-00.8442,C*
104,G270.7424-02.4384,RedSG*
105,G277.1542-01.5715,RedSG*
106,G281.2564-01.7426,Mira
107,G284.2806-00.2941,IR
108,G284.3230-00.4078,LPV*
109,G284.3444-00.3170,SG*
110,G285.0191-01.9268,RedSG*
111,G286.0034-00.7563,S*
112,G287.3506-00.5900,LPV*
113,G287.3987-00.5319,PulsV*RVTau
114,G287.4189-00.5696,denseCore
115,G287.4748-00.5106,denseCore
116,G287.5333-00.6510,Ae*
117,G288.1760-00.8351,YellowSG*
118,G289.1900-00.2925,HII
119,G294.9725-01.7290,gamma
120,G304.5719+00.7163,PN
121,G309.2203-00.4619,EB*betLyr
122,G309.4230-00.6208,RedSG*
123,G309.5523-00.7265,RedSG*
124,G309.9094+00.3794,OH/IR
125,G309.9796+00.5496,LPV*
126,G310.0135+00.3892,RedSG*
127,G310.1765-00.2478,C*
128,G310.6311-00.4290,OH/IR
129,G311.0593-00.3349,Mira
130,G312.0963-00.2356,Em*
131,G312.4964-00.0213,LPV*
132,G312.5050+02.6271,OH/IR
133,G314.2125+00.2632,PN
134,G314.2462+00.4174,S*
135,G319.3542+00.0207,IR
136,G320.2434-00.2801,PN
137,G332.9585-00.3769,HH
138,G336.9869-00.0050,Mira
139,G337.0780-00.1867,HII
140,G337.1234-00.1780,C*
141,G337.2850+00.1124,WR*
142,G337.5326-00.3081,Mira
143,G337.6175-00.0618,LPV*
144,G337.6651-00.1750,Em*
145,G337.7258+01.1578,BlueSG*
146,G337.9947+00.0770,RedSG*
147,G338.3083+00.1718,SB*
