,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
0,2401,G010.0718-00.4218,Rejected ,0.45299999999999996,2.855,5.28,14.3,,,,,,,,MSX,,,
1,2368,G010.0997+00.7396,PN ,3.5589999999999997,5.055,17.92,35.08,11.5,11.1,10.0,,,,,MSX,15.0,446.8,
3,2404,G010.1431-00.4234,Diffuse HII region?,1.127,4.825,7.59,24.23,,,,19.6,2.79/13.74,,6514.4/157994.4,MSX,,,
4,2392,G010.1467-00.3327,Rejected ,7.671,36.736999999999995,47.88,156.3,,,,,,,,MSX,,,
5,2405,G010.1481-00.4260,Evolved star??,1.278,1.411,2.02,3.11,8.6,6.4,5.4,,,,,MSX,,,
6,2400,G010.1615-00.3623,Diffuse HII region ,29.445999999999998,103.53,146.22,692.25,,,,14.0,3.5,Spe,301326,MSX,8.6,<4.0,
7,2402,G010.1669-00.3933,Rejected ,1.02,1.3630000000000002,0.97,6.83,,,,,,,,MSX,,,
8,2390,G010.1691-00.3022,Rejected ,0.18100000000000002,1.635,1.52,8.3,,,,,,,,MSX,,,
9,2397,G010.1711-00.3356,Rejected ,1.87,6.382000000000001,4.12,14.93,,,,,,,,MSX,,,
11,2409,G010.1823-00.4244,Rejected ,0.763,2.279,1.85,8.69,,,,,,,,MSX,,,
12,2403,G010.1850-00.3960,Diffuse HII region ,4.14,5.397,6.37,18.37,,,,,,,,MSX,,,
13,2395,G010.1880-00.3162,Diffuse HII region?,3.222,5.061,3.18,9.63,,,,11.1,3.5,Spe,4192,MSX,5.0,<8.0,
14,2411,G010.1913-00.4296,Diffuse HII region??,0.895,1.588,3.28,8.91,,,,,,,,MSX,,,
15,2410,G010.1960-00.4265,Rejected ,0.7559999999999999,3.466,5.64,21.26,,,,,,,,MSX,,,
17,2393,G010.2218-00.2945,Diffuse HII region??,1.369,2.593,1.28,4.62,,,,,,,,MSX,,,
18,2396,G010.2326-00.2963,Diffuse HII region ,0.496,3.04,5.27,16.26,,,,,,,,MSX,,,
19,2394,G010.2340-00.2890,Rejected ,0.991,1.939,0.92,3.83,,,,,,,,MSX,,,
20,2383,G010.3040-00.1466,Diffuse HII region ,10.762,24.563000000000002,22.73,100.88,,,,,,,,MSX,,,
21,2382,G010.3053-00.1439,Rejected ,0.552,13.437999999999999,20.68,26.22,,,,,,,,MSX,,,
22,2379,G010.3128-00.1117,Rejected ,0.43,0.9309999999999999,1.09,4.13,,,,,,,,MSX,,,
23,2398,G010.3204-00.2616,HII region ,1.1059999999999999,1.229,1.42,3.14,,,,32.1,3.75/12.78,,4790.6/55640.6,MSX,5.0,18.2,
24,2391,G010.3207-00.2329,HII region ,2.035,2.6910000000000003,3.08,7.96,14.0,10.1,7.9,32.5,3.77/12.76,,3750.7/42967.1,MSX,,,
27,2399,G010.3228-00.2657,Rejected ,0.10099999999999999,0.9520000000000001,1.47,3.64,,,,,,,,MSX,,,
28,2385,G010.3368-00.1454,Rejected ,1.719,4.939,5.56,13.75,,,,,,,,MSX,,,
29,2358,G010.3844+02.2128,YSO ,3.741,7.529,9.99,10.38,18.3,14.5,11.5,5.5,1.1,Kin,1178,MIPS/IGA,5.0,<0.4,
30,2371,G010.3930+00.5389,PN??,1.936,3.412,4.11,16.54,,,,,,,,MSX,5.0,2.2,
31,2376,G010.4413+00.0101,HII region ,1.129,3.068,3.91,9.91,,,,66.4,8.6,Par,25022,MSX,5.0,32.5,
32,2375,G010.4616+00.0327,HII region ,1.6909999999999998,4.128,4.26,15.15,,,,68.9,8.6,Par,38252,MSX,5.0,215.4,
33,2378,G010.4718+00.0206,HII region ,0.753,1.334,1.31,3.84,,,,67.4,8.6,Par,9696,MSX,5.0,<0.8,
34,2377,G010.4718+00.0256,HII region ,1.004,1.778,3.09,16.95,,,,66.7,8.6,Par,336100,MSX,,,
35,2432,G010.4984-00.7706,Evolved star ,0.409,0.9840000000000001,1.82,3.74,17.4,14.7,12.1,,,,,MSX,5.0,<0.5,
36,2360,G010.5067+02.2285,YSO ,0.342,0.885,1.24,3.25,,,,21.8,2.9,Kin,1657,MIPS/IGA,5.0,<0.5,
37,2423,G010.5887-00.4146,Rejected ,0.121,1.635,2.83,8.2,,,,,,,,MSX,,,
38,2440,G010.5956-00.8740,HII region?,0.20600000000000002,0.9690000000000001,1.48,5.47,15.1,12.2,12.6,29.1,3.5,Kin,2301,MSX,5.0,34.5,
39,2419,G010.5975-00.3838,Diffuse HII region ,5.632999999999999,21.881999999999998,30.53,78.77,,,,-2.5,2.4,Spe,7489,MIPS/IGA,5.0,<2.3,
40,2416,G010.6207-00.3199,Diffuse HII region ,0.222,0.7140000000000001,1.45,4.9,,,,-3.7,2.4,Spe,2405,MIPS/IGA,5.0,<1.3,
41,2422,G010.6212-00.3957,Rejected ,0.5720000000000001,2.35,3.08,7.38,,,,,,,,MSX,,,
42,2420,G010.6235-00.3834,HII region ,1.611,2.305,5.59,43.29,,,,-2.5,5,Par,394137,MSX,4.8,1,206.8
44,2417,G010.6291-00.3385,HII region ,3.7489999999999997,6.047999999999999,7.3,29.58,,,,-4.5,5,Par,29795,MIPS/IGA,5.0,25.2,
45,2421,G010.6311-00.3864,HII region ,1.629,2.434,3.64,15.25,,,,-3.5,5,Par,12906,MSX,5.0,<1.9,
46,2426,G010.6387-00.4349,Diffuse HII region?,0.364,1.329,2.6,5.74,,,,,,,,MSX,,,
48,2503,G010.8181-01.8272,PN ,1.159,1.242,6.54,10.71,9.5,8.2,7.4,,,,,MSX,,,
49,2452,G010.8369-00.9650,Diffuse HII region ,0.20800000000000002,1.013,2.27,9.32,,,,,,,,MSX,,,
50,2704,G010.8407-03.8148,Evolved star?,3.6489999999999996,5.795,6.88,7.13,14.9,13.0,9.9,,,,,MSX,5.0,<0.6,
51,2584,G010.8411-02.5919,YSO ,10.935,21.781,36.43,173.66,16.3,13.2,9.7,12.3,1.9,Kin,23737,MIPS/IGA,9.0,3.6,
52,2585,G010.8432-02.6041,HII region ,6.121,8.55,6.0,33.74,11.6,10.7,10.1,12.6,2,Kin,4477,MSX,,,
53,2366,G010.8837+01.4997,OH/IR star?,0.75,3.182,6.02,10.34,,,,,,,,MSX,5.0,<0.7,
54,2389,G010.8856+00.1221,YSO ,2.2430000000000003,5.303,10.0,18.86,15.6,12.9,9.6,19.7,2.7,Kin,5475,MIPS/IGA,5.0,<1.0,
55,2365,G010.9257+01.6294,OH/IR star ,5.04,9.584,17.52,17.9,,,,7.1,1.2,Kin,966,MSX,5.0,<0.7,
56,2406,G010.9592+00.0217,HII region ,0.34700000000000003,1.617,3.34,12.58,,,,21.4,13.7,Kin,125957,MIPS/IGA,5.0,196,
57,2408,G010.9657+00.0083,HII region ,1.952,4.838,5.82,11.42,,,,19.2,2.6,Kin,1893,MIPS/IGA,5.0,68.7,
58,2370,G011.0064+00.9220,Evolved star ,5.598,8.76,13.04,13.44,,,,,,,,MSX,,,
59,2407,G011.0340+00.0629,HII region ,2.029,6.041,7.58,19.87,,,,15.4,14.2,Kin,101612,MSX,,,
60,2415,G011.0454-00.0670,Evolved star ,1.25,2.204,3.27,4.26,,,,30.1,3.48/13,,1781.9/24866.7,MSX,5.0,<1.3,
61,2427,G011.0732-00.2295,Diffuse HII region ,0.89,1.514,1.95,7.19,,,,29.3,3.43/13.06,,1705.9/24731.7,MIPS/IGA,5.0,<1.3,
62,2430,G011.1109-00.4001,HII region ,5.052,11.196,16.47,68.05,,,,-1.1,5,Par,22316,MIPS/IGA,5.0,50,
63,2413,G011.1161+00.0514,Evolved star ,0.675,0.7759999999999999,1.11,2.91,,,,21.7,2.82/13.66,,799.3/18754.7,MSX,5.0,<1.2,
64,2418,G011.1723-00.0656,HII region ,1.158,2.206,1.86,4.26,,,,22.5,13.6,Kin,24733,MIPS/IGA,5.0,71,
65,2388,G011.1783+00.2937,Evolved star ,1.61,2.319,2.65,4.7,12.2,10.1,8.5,,,,,MSX,5.0,<1.0,
66,2356,G011.1827+03.1563,Evolved star ,3.855,5.417000000000001,7.04,8.34,16.4,12.8,9.0,,,,,MSX,5.0,<0.8,
68,2454,G011.2687-00.8410,OH/IR star ,3.779,8.314,12.04,14.98,11.3,10.8,9.2,33.0,3.6,Kin,6855,MSX,5.0,<0.7,
69,2412,G011.2907+00.1523,Evolved star ,1.729,3.22,3.5,4.56,10.8,9.6,9.0,,,,,MSX,5.0,<0.8,
70,2532,G011.3252-01.8040,Young/old star?,4.148,8.774,12.27,14.72,17.7,16.6,14.2,9.0,1.5,Kin,27628,MIPS/IGA,5.0,<0.5,
71,2457,G011.3743-00.8503,Evolved star ,0.5429999999999999,1.27,2.51,2.72,,,,29.9,3.4,Kin,1099,MSX,5.0,<0.5,
72,2520,G011.3757-01.6770,HII region ,2.778,3.8810000000000002,2.62,6.22,,,,7.7,1.3,Kin,363,MSX,5.0,<0.7,
73,2425,G011.3763-00.0216,OH/IR star ,1.525,2.441,3.54,3.38,14.7,13.0,11.6,,,,,MSX,5.0,<0.9,
74,2387,G011.4136+00.4298,OH/IR star ,0.41600000000000004,2.151,4.04,7.94,,,,32.1,3.56/12.91,,3475.6/45707.1,MSX,5.0,<0.4,
75,2525,G011.4201-01.6815,HII/YSO??,5.353,8.249,13.46,98.36,14.8,14.0,11.5,9.2,1.5,Kin,7542,MSX,5.0,3.2,
76,2689,G011.4472-03.1256,OH/IR star ,4.38,5.966,7.37,9.84,15.2,13.1,9.8,,,,,MSX,5.0,<0.7,
77,2527,G011.4890-01.6557,HII region?,1.2570000000000001,1.162,1.33,9.2,,,,11.2,1.7,Kin,951,MSX,,,
78,2510,G011.5001-01.4857,YSO ,5.379,8.432,8.15,40.7,13.1,11.4,10.3,10.6,1.7,Kin,2217,MIPS/IGA,5.0,<0.6,
79,2424,G011.5602+00.0873,OH/IR star ,1.444,10.975999999999999,32.8,123.6,10.4,8.3,7.1,,,,,MSX,5.0,0,
80,2428,G011.6344-00.0647,HII region??,0.271,1.746,3.22,5.95,,,,6.3,1.1,Kin,325,MSX,,,
81,2538,G011.6551-01.7505,HII region?,0.879,1.3459999999999999,1.24,2.7,10.3,8.4,7.2,,,,,MSX,,,
82,2458,G011.7438-00.6502,PN ,1.706,2.77,4.16,4.57,11.8,11.6,10.3,,,,,MSX,5.0,156.9,
83,2372,G011.7527+01.2362,Evolved star ,1.883,2.997,3.24,4.64,12.7,10.0,7.8,,,,,MSX,,,
84,2436,G011.7588-00.1502,HII region ,0.523,0.7659999999999999,0.89,3.72,,,,59.1,11.6,Kin,14072,MSX,,,
85,2433,G011.8010-00.0834,Evolved star ,0.483,0.823,0.8,2.89,15.3,11.4,9.2,,,,,MSX,,,
88,2364,G011.8974+02.1862,OH/IR star?,3.9389999999999996,8.201,10.8,12.86,13.3,11.8,10.5,,,,,MSX,5.0,<0.6,
89,2384,G011.9019+00.7265,YSO?,1.371,2.042,2.53,5.64,16.0,13.6,11.3,24.3,2.9,Kin,502,MIPS/IGA,5.0,<0.7,
90,2381,G011.9033+00.7417,Diffuse HII region ,0.491,3.165,5.4,12.59,,,,24.2,2.9,Kin,4093,MIPS/IGA,5.0,<0.7,
91,2468,G011.9373-00.6165,HII region ,6.705,12.106,17.25,111.8,,,,37.0,3.8,Kin,83444,MSX,5.0,1,155.9
92,2435,G011.9454-00.0373,HII region ,7.473,34.512,47.85,110.71,15.5,13.4,11.1,39.1,12.5,Kin,137920,MIPS/IGA,5.0,453.4,
93,2443,G011.9509-00.1615,Diffuse HII region ,0.285,0.71,1.2,3.71,,,,,,,,MSX,,,
94,2354,G011.9764+04.2327,PN ,1.329,5.234,5.98,10.32,12.3,11.9,11.1,,,,,MSX,,,
95,2450,G011.9920-00.2731,YSO ,1.0759999999999998,1.247,1.87,3.06,,,,60.6,11.5,Kin,26361,MSX,,,
96,2437,G012.0260-00.0317,YSO ,0.797,1.6480000000000001,3.05,5.61,16.0,14.8,13.1,110.8,11.1,Kin,34775,MIPS/IGA,8.6,<0.4,
97,2451,G012.0653-00.2853,Diffuse HII region ,0.33799999999999997,-0.6579999999999999,0.81,2.79,,,,,,,,MSX,,,
98,2374,G012.1177+01.1966,PN ,0.172,0.8320000000000001,1.61,7.3,13.2,12.1,11.3,,,,,MSX,5.0,63.6,
99,2531,G012.1739-01.3252,Evolved star?,2.775,4.024,4.66,5.47,16.3,12.5,9.2,,,,,MSX,5.0,<0.5,
100,2446,G012.1917-00.1029,Diffuse HII region ,2.063,6.683,8.66,18.27,,,,27.0,3.09/13.33,,4067.5/75695.5,MIPS/IGA,5.0,<1.7,
101,2449,G012.1953-00.1346,Rejected ,0.413,1.382,1.32,4.75,,,,,,,,MSX,,,
102,2447,G012.1956-00.1266,Diffuse HII region ,0.35100000000000003,2.7910000000000004,5.49,11.47,,,,,,,,MSX,,,
105,2359,G012.2079+03.2142,Evolved star ,1.7690000000000001,2.083,2.56,3.78,10.6,9.2,8.0,,,,,MSX,,,
